,city,county,address,number,country,full_address,latitude,longitude
86,Poznań,Poznań,Gen. Maczka 11,90512,Poland,"Gen. Maczka 11,Poznań,Poland",52.4245782,16.9154154
87,Poznań,Poznań,Gen. Maczka 11,90508,Poland,"Gen. Maczka 11,Poznań,Poland",52.4245782,16.9154154
88,Poznań,Poznań,Nad Potokiem 29,90 507,Poland,"Nad Potokiem 29,Poznań,Poland",52.4268702,16.9097994
89,Poznań,Poznań,Os. Winiary 13,90 506,Poland,"Os. Winiary 13,Poznań,Poland",52.4328546,16.9103657
90,Poznań,Poznań,Szarych Szeregów 12/13,90 502,Poland,"Szarych Szeregów 12/13,Poznań,Poland",52.45846964,16.87927658
91,Poznań,Poznań,Szarych Szeregów 36,90 511,Poland,"Szarych Szeregów 36,Poznań,Poland",52.46053885,16.883301
92,Poznań,Poznań,Michałowska 20,90501,Poland,"Michałowska 20,Poznań,Poland",52.4264839,16.9131377
93,Poznań,Poznań,Urbanowska 30 ,90505,Poland,"Urbanowska 30 ,Poznań,Poland",52.4230014,16.9159479
94,Poznań,Poznań,Gen. Maczka 19,90510,Poland,"Gen. Maczka 19,Poznań,Poland",52.4254791,16.9171314
95,Poznań,Poznań,ul. Borówki 10,8784,Poland,"ul. Borówki 10,Poznań,Poland",52.3895434,17.0321528
96,Poznań,Poznań,ul. Borówki 10,24127,Poland,"ul. Borówki 10,Poznań,Poland",52.3895434,17.0321528
97,Poznań,Poznań,ul. Starołęcka 42a,27357,Poland,"ul. Starołęcka 42a,Poznań,Poland",52.3701962,16.93159
98,Poznań,Poznań,ul. Starołęcka 42a,41875,Poland,"ul. Starołęcka 42a,Poznań,Poland",52.3701962,16.93159
99,Poznań,Poznań,ul. Łagodna 4,10716,Poland,"ul. Łagodna 4,Poznań,Poland",52.469034,16.9504466
100,Poznań,Poznań,ul. Łagodna 4,43809,Poland,"ul. Łagodna 4,Poznań,Poland",52.469034,16.9504466
101,Poznań,Poznań,ul. Majakowskiego 324,94701,Poland,"ul. Majakowskiego 324,Poznań,Poland",52.3931997,17.0202323
102,Poznań,Poznań,ul. Skibska 13,77026,Poland,"ul. Skibska 13,Poznań,Poland",52.40832901,16.93361092
103,Poznań,Poznań,ul. Skibska 13,23066,Poland,"ul. Skibska 13,Poznań,Poland",52.40832901,16.93361092
104,Poznań,Poznań,ul. Gminna 11,10882,Poland,"ul. Gminna 11,Poznań,Poland",52.3503659,17.0283988
105,Poznań,Poznań,ul. Gminna 11,51098,Poland,"ul. Gminna 11,Poznań,Poland",52.3503659,17.0283988
106,Poznań,Poznań,Krańcowa os. Pomet Garaże,93799,Poland,"Krańcowa os. Pomet Garaże,Poznań,Poland",52.41333024,16.97641886
107,Poznań,Poznań,Krańcowa os. Pomet Garaże,93798,Poland,"Krańcowa os. Pomet Garaże,Poznań,Poland",52.41333024,16.97641886
108,Poznań,Poznań,Warszawska os. Pomet - altana śmietnikowa,93810,Poland,"Warszawska os. Pomet - altana śmietnikowa,Poznań,Poland",52.40960805,16.9884933
109,Poznań,Poznań,os. Tysiąclecia 45-54,93808,Poland,"os. Tysiąclecia 45-54,Poznań,Poland",52.3953694,16.9783334
110,Poznań,Poznań,os. Tysiąclecia 3-14,93816,Poland,"os. Tysiąclecia 3-14,Poznań,Poland",52.3933877,16.9740797
111,Poznań,Poznań,os Tysiąclecia 72,94017,Poland,"os Tysiąclecia 72,Poznań,Poland",52.3947874,16.9804035
112,Poznań,Poznań,os Tysiąclecia 72,94013,Poland,"os Tysiąclecia 72,Poznań,Poland",52.3947874,16.9804035
113,Poznań,Poznań,os Tysiąclecia 3-14,94016,Poland,"os Tysiąclecia 3-14,Poznań,Poland",52.402599,17.0729038
114,Poznań,Poznań,os. Tysiąclecia 70,63304,Poland,"os. Tysiąclecia 70,Poznań,Poland",52.3936355,16.9798855
115,Poznań,Poznań,os. Tysiąclecia 3-14 park,9518,Poland,"os. Tysiąclecia 3-14 park,Poznań,Poland",52.542284,16.822297
116,Poznań,Poznań,Cedrowa 7-11,94606,Poland,"Cedrowa 7-11,Poznań,Poland",52.3659148,16.9061746
